"","aka","date","page_number","partof_title"
"1","http://www.loc.gov/resource/sn83021194/1773-02-18/ed-1/?sp=1","1773-02-18",1,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"2","http://www.loc.gov/resource/sn84024741/1768-03-24/ed-1/?sp=1","1768-03-24",1,"the virginia gazette (williamsburg, va.) 1766-1776"
"3","http://www.loc.gov/resource/sn83021193/1772-02-20/ed-1/?sp=2","1772-02-20",2,"the massachusetts spy (boston [mass.]) 1770-1772"
"4","http://www.loc.gov/resource/sn84024741/1768-03-10/ed-1/?sp=1","1768-03-10",1,"the virginia gazette (williamsburg, va.) 1766-1776"
"5","http://www.loc.gov/resource/sn83025584/1780-08-12/ed-1/?sp=2","1780-08-12",2,"new-hampshire gazette, or, state journal and general advertiser (portsmouth, n.h.) 1778-1781"
"6","http://www.loc.gov/resource/sn83025584/1780-08-19/ed-1/?sp=2","1780-08-19",2,"new-hampshire gazette, or, state journal and general advertiser (portsmouth, n.h.) 1778-1781"
"7","http://www.loc.gov/resource/sn83025584/1780-08-12/ed-1/?sp=3","1780-08-12",3,"new-hampshire gazette, or, state journal and general advertiser (portsmouth, n.h.) 1778-1781"
"8","http://www.loc.gov/resource/sn84024742/1776-04-26/ed-1/?sp=5","1776-04-26",5,"the virginia gazette (williamsburg, va.) 1775-1780"
"9","http://www.loc.gov/resource/sn83021194/1773-11-26/ed-1/?sp=3","1773-11-26",3,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"10","http://www.loc.gov/resource/sn84024741/1768-03-03/ed-1/?sp=1","1768-03-03",1,"the virginia gazette (williamsburg, va.) 1766-1776"
"11","http://www.loc.gov/resource/sn84024742/1775-04-28/ed-1/?sp=7","1775-04-28",7,"the virginia gazette (williamsburg, va.) 1775-1780"
"12","http://www.loc.gov/resource/sn83021194/1773-10-07/ed-1/?sp=1","1773-10-07",1,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"13","http://www.loc.gov/resource/sn84020591/1765-09-21/ed-1/?sp=1","1765-09-21",1,"the constitutional courant (woodbridge, n.j.) 1765-1765"
"14","http://www.loc.gov/resource/sn84020591/1765-09-21/ed-2/?sp=1","1765-09-21",1,"the constitutional courant (woodbridge, n.j.) 1765-1765"
"15","http://www.loc.gov/resource/sn83025582/1775-03-24/ed-1/?sp=3","1775-03-24",3,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"16","http://www.loc.gov/resource/sn83025584/1778-07-07/ed-1/?sp=2","1778-07-07",2,"new-hampshire gazette, or, state journal and general advertiser (portsmouth, n.h.) 1778-1781"
"17","http://www.loc.gov/resource/sn83025583/1777-03-15/ed-1/?sp=2","1777-03-15",2,"the freeman's journal, or, new-hampshire gazette (portsmouth, n.h.) 1776-1778"
"18","http://www.loc.gov/resource/sn83025582/1766-04-11/ed-1/?sp=3","1766-04-11",3,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"19","http://www.loc.gov/resource/sn83025584/1780-09-16/ed-1/?sp=4","1780-09-16",4,"new-hampshire gazette, or, state journal and general advertiser (portsmouth, n.h.) 1778-1781"
"20","http://www.loc.gov/resource/sn83025894/1776-07-06/ed-1/?sp=1","1776-07-06",1,"the pennsylvania evening post (philadelphia, pa.) 1775-1781"
"21","http://www.loc.gov/resource/sn83025582/1774-09-30/ed-1/?sp=1","1774-09-30",1,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"22","http://www.loc.gov/resource/sn84026371/1776-07-10/ed-1/?sp=1","1776-07-10",1,"the pennsylvania gazette (philadelphia, pa.) 1729-1778"
"23","http://www.loc.gov/resource/sn84024739/1768-10-27/ed-1/?sp=4","1768-10-27",4,"the virginia gazette (williamsburg [va.]) 1736-1781"
